epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.001,1.41697,2.55005,1.5064,0.27739,0.27102,0.22908,0.13224,1.45172,2.08342,1.60078,0.000332606,0.000332606,0.000332606
2,334.6,1.44465,2.02504,1.53619,0.30917,0.26147,0.22516,0.12501,1.57399,2.2611,1.66568,0.000654951,0.000654951,0.000654951
3,485.675,1.4557,1.93738,1.54853,0.30828,0.28911,0.24036,0.13606,1.57669,2.09936,1.69853,0.000966296,0.000966296,0.000966296
4,634.767,1.44878,1.84604,1.53571,0.36253,0.3054,0.28128,0.16265,1.51322,1.88269,1.62869,0.0009505,0.0009505,0.0009505
5,782.424,1.4123,1.77652,1.51248,0.32214,0.28368,0.25639,0.15507,1.45928,1.99416,1.57076,0.000934,0.000934,0.000934
6,928.37,1.39438,1.74521,1.50491,0.43398,0.30047,0.31414,0.19585,1.39622,1.6808,1.54531,0.0009175,0.0009175,0.0009175
7,1076.75,1.38183,1.68665,1.48972,0.40233,0.35789,0.34856,0.21403,1.38632,1.58052,1.49872,0.000901,0.000901,0.000901
8,1223.07,1.36808,1.63961,1.48536,0.42664,0.34632,0.34093,0.21469,1.37529,1.64288,1.50707,0.0008845,0.0008845,0.0008845
9,1369.33,1.35255,1.59964,1.47544,0.46359,0.35504,0.38748,0.25025,1.35168,1.44734,1.47088,0.000868,0.000868,0.000868
10,1515.6,1.3373,1.56197,1.45801,0.44829,0.31103,0.33141,0.20357,1.39687,1.69187,1.48926,0.0008515,0.0008515,0.0008515
11,1661.69,1.31854,1.52004,1.4494,0.37804,0.342,0.31538,0.20107,1.37036,1.73147,1.48562,0.000835,0.000835,0.000835
12,1810.17,1.32132,1.5058,1.44851,0.48573,0.35607,0.39724,0.25402,1.33738,1.45573,1.46499,0.0008185,0.0008185,0.0008185
13,1962.52,1.30538,1.47252,1.44021,0.45033,0.41366,0.39039,0.24524,1.3328,1.41177,1.4447,0.000802,0.000802,0.000802
14,2112.82,1.31688,1.46007,1.43832,0.48745,0.38326,0.41671,0.26567,1.29346,1.39658,1.44348,0.0007855,0.0007855,0.0007855
15,2262.86,1.29688,1.44128,1.43028,0.49294,0.37524,0.40032,0.25913,1.32717,1.41766,1.45842,0.000769,0.000769,0.000769
16,2417.3,1.30887,1.42713,1.42785,0.50814,0.39823,0.4442,0.28348,1.30397,1.32141,1.44144,0.0007525,0.0007525,0.0007525
17,2565.1,1.27738,1.40215,1.41747,0.49194,0.39623,0.43659,0.28207,1.31199,1.28683,1.4364,0.000736,0.000736,0.000736
18,2714.56,1.28163,1.37683,1.41472,0.44838,0.39018,0.39101,0.25384,1.2986,1.40257,1.43644,0.0007195,0.0007195,0.0007195
19,2862.61,1.26133,1.36263,1.40841,0.57193,0.37186,0.43593,0.28378,1.3082,1.3041,1.44284,0.000703,0.000703,0.000703
20,3011.32,1.24995,1.34441,1.40049,0.51256,0.39286,0.43035,0.28178,1.28137,1.3282,1.43244,0.0006865,0.0006865,0.0006865
21,3160.65,1.24915,1.34611,1.39947,0.53013,0.38583,0.42844,0.28404,1.24549,1.26058,1.40185,0.00067,0.00067,0.00067
22,3310.04,1.24725,1.30053,1.39061,0.51761,0.41288,0.45103,0.29961,1.24428,1.25538,1.39604,0.0006535,0.0006535,0.0006535
23,3460.66,1.24231,1.30739,1.39088,0.50556,0.42887,0.45411,0.30163,1.23319,1.26714,1.38393,0.000637,0.000637,0.000637
24,3609.16,1.24361,1.28969,1.39016,0.52193,0.42537,0.44456,0.29362,1.25489,1.25256,1.38786,0.0006205,0.0006205,0.0006205
25,3759.3,1.2453,1.27692,1.38217,0.51856,0.42259,0.45366,0.30108,1.24118,1.27326,1.38875,0.000604,0.000604,0.000604
26,3908.09,1.2407,1.26532,1.38299,0.52162,0.44351,0.47378,0.31421,1.22499,1.184,1.35874,0.0005875,0.0005875,0.0005875
27,4054.09,1.22849,1.25088,1.37741,0.50294,0.41953,0.44692,0.29244,1.24801,1.24404,1.37037,0.000571,0.000571,0.000571
28,4203.83,1.21391,1.23248,1.36464,0.53902,0.42033,0.45592,0.30642,1.22262,1.19911,1.3689,0.0005545,0.0005545,0.0005545
29,4351.67,1.22755,1.22562,1.36797,0.53604,0.43716,0.46662,0.31445,1.21067,1.18124,1.3492,0.000538,0.000538,0.000538
30,4499.32,1.21942,1.2197,1.3648,0.53076,0.42206,0.44737,0.30164,1.22217,1.18611,1.35026,0.0005215,0.0005215,0.0005215
31,4648.14,1.20748,1.19937,1.35722,0.5355,0.44271,0.47539,0.30866,1.24258,1.17382,1.36825,0.000505,0.000505,0.000505
32,4794.88,1.20327,1.1873,1.36086,0.54782,0.44039,0.47045,0.32003,1.18074,1.15953,1.32067,0.0004885,0.0004885,0.0004885
33,4941.94,1.19122,1.18152,1.35309,0.52652,0.45088,0.46722,0.3128,1.2223,1.15596,1.34929,0.000472,0.000472,0.000472
34,5092.07,1.21306,1.17241,1.35513,0.54787,0.44708,0.4826,0.32508,1.2055,1.14245,1.32837,0.0004555,0.0004555,0.0004555
35,5241.02,1.19599,1.15225,1.35021,0.56007,0.44912,0.49584,0.33667,1.18638,1.10568,1.31876,0.000439,0.000439,0.000439
36,5389.08,1.18054,1.13703,1.34086,0.54334,0.4596,0.4968,0.33614,1.19673,1.11497,1.32723,0.0004225,0.0004225,0.0004225
37,5537.43,1.18248,1.1383,1.34363,0.55496,0.46048,0.50094,0.33809,1.19634,1.10013,1.33137,0.000406,0.000406,0.000406
38,5687.85,1.18562,1.1365,1.34354,0.56418,0.45,0.50301,0.34674,1.16119,1.1001,1.31028,0.0003895,0.0003895,0.0003895
39,5839.66,1.17679,1.12851,1.34329,0.58193,0.4463,0.51388,0.34566,1.20189,1.08644,1.32234,0.000373,0.000373,0.000373
40,5986.97,1.17165,1.11227,1.33261,0.57425,0.43851,0.50831,0.34255,1.20353,1.10827,1.32392,0.0003565,0.0003565,0.0003565
41,6135.71,1.17906,1.09495,1.33233,0.55372,0.46277,0.50543,0.34577,1.186,1.08091,1.32618,0.00034,0.00034,0.00034
42,6281.35,1.17456,1.09098,1.32739,0.56147,0.48136,0.51549,0.35183,1.16676,1.06631,1.31106,0.0003235,0.0003235,0.0003235
43,6426.83,1.16287,1.07252,1.32555,0.56564,0.46888,0.51001,0.34853,1.16055,1.06395,1.30192,0.000307,0.000307,0.000307
