epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.43,1.67334,3.0151,1.77036,0.26868,0.23501,0.19805,0.11428,1.52348,inf,1.6176,0.00331579,0.00331579,0.00331579
2,203.16,1.59456,2.16657,1.68258,0.26348,0.2423,0.18744,0.10082,1.66401,inf,1.66253,0.00659427,0.00659427,0.00659427
3,287.888,1.60509,2.09392,1.69049,0.18324,0.12599,0.07338,0.02895,2.19639,inf,2.33338,0.00981775,0.00981775,0.00981775
4,378.949,1.62967,2.08091,1.72421,0.14296,0.21063,0.09114,0.04047,2.05837,inf,2.00211,0.0097525,0.0097525,0.0097525
5,464.634,1.57907,1.98156,1.68922,0.35004,0.29241,0.26693,0.15452,1.58876,2.0211,1.68186,0.00967,0.00967,0.00967
6,549.245,1.55736,1.88587,1.66791,0.33757,0.29148,0.24706,0.13511,1.63639,inf,1.70788,0.0095875,0.0095875,0.0095875
7,637.568,1.5216,1.835,1.65154,0.2932,0.26748,0.20917,0.11368,1.65202,inf,1.72978,0.009505,0.009505,0.009505
8,722.851,1.52012,1.79373,1.64132,0.38539,0.31515,0.29558,0.17241,1.5417,1.8612,1.59987,0.0094225,0.0094225,0.0094225
9,807.878,1.50462,1.74837,1.62638,0.38575,0.28551,0.29277,0.17762,1.51561,inf,1.61991,0.00934,0.00934,0.00934
10,892.88,1.50082,1.7156,1.61843,0.40974,0.34072,0.34256,0.21002,1.4516,1.61796,1.52368,0.0092575,0.0092575,0.0092575
11,978.874,1.48892,1.70324,1.61662,0.39316,0.29726,0.30319,0.18134,1.51905,1.96959,1.57049,0.009175,0.009175,0.009175
12,1065.21,1.47787,1.67453,1.60476,0.45423,0.27962,0.29648,0.18597,1.42025,inf,1.54057,0.0090925,0.0090925,0.0090925
13,1151.86,1.46327,1.64603,1.59783,0.44573,0.31421,0.32992,0.20355,1.49167,inf,1.52323,0.00901,0.00901,0.00901
