epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3386,1.82788,3.61339,1.86995,0.00353,0.53474,0.04736,0.02407,1.49861,3.70383,1.83694,0.00015,0.00015,0.00015
2,33.75,1.78311,3.32972,1.76799,0.00503,0.55141,0.12168,0.0584,1.53174,3.6949,1.85612,0.000310953,0.000310953,0.000310953
3,36.4449,1.80239,2.95236,1.76439,0.00892,0.69161,0.14797,0.07475,1.69444,3.56175,2.0485,0.000470298,0.000470298,0.000470298
4,39.1353,1.78719,2.74298,1.7406,0.0049,0.66959,0.21475,0.101,1.85384,3.60774,2.12924,0.000628033,0.000628033,0.000628033
5,41.4666,1.72584,2.59195,1.70869,0.78559,0.01786,0.29419,0.13176,1.8793,3.21386,2.14443,0.00078416,0.00078416,0.00078416
6,44.0288,1.75932,2.5263,1.71998,0.76445,0.13068,0.32604,0.1957,1.62501,3.07512,2.01718,0.000938678,0.000938678,0.000938678
7,46.397,1.78109,2.31716,1.71255,0.35259,0.20308,0.20963,0.10637,1.88522,3.40788,2.26057,0.00109159,0.00109159,0.00109159
8,48.8119,1.74272,2.28065,1.71264,0.25778,0.27413,0.26442,0.11369,1.82683,4.1919,2.24758,0.00120669,0.00120669,0.00120669
9,51.2973,1.6924,2.21344,1.66403,0.6526,0.3845,0.44429,0.1997,1.94358,4.19688,2.47941,0.0012005,0.0012005,0.0012005
10,53.7742,1.69134,2.14961,1.69918,0.5489,0.35249,0.3521,0.1852,1.86134,3.32335,2.17272,0.00119431,0.00119431,0.00119431
11,56.0631,1.73807,2.14992,1.6825,0.39735,0.33254,0.31632,0.1449,2.05015,4.40109,2.41635,0.00118812,0.00118812,0.00118812
12,58.566,1.71688,2.05871,1.672,0.21993,0.43984,0.24182,0.11227,1.97961,5.19123,2.29163,0.00118194,0.00118194,0.00118194
